S. No.,District,Fire Hazard,Heavy Rainfall,Storms and Winds,Lightening,Drowning,Gas Leak,Cyclone,Boat Accident,Flash Floods,Fell in Borewell,Killed by Animal,Snake Bite,Coldwave,Sewer Cleaning,Total Casualties
1, Agra,,,67,11,,,,,,,,1,,,79
2, Aligarh,,,6,5,,,,,,,,,,,11
3,Ambedkar Nagar,,,,,,,,,,,,,,,0
4,Amethi ,,,,,,,,,,,,,,,0
5,Auraiya,,,,,,,,,,,,,,,0
6, Ayodhya ,3,11,3,,,,,,,,,5,,,22
7,Azamgarh,,,,,,,,,,,,,,,0
8, Amroha ,,,,,,,,,,,,,,,0
9, Baghpat,,,,,,,2,,,,,,,,2
10, Bahraich,,,,,,,,,,,,,,,0
11, Ballia,,,3,5,,,,,,,,1,,,9
12, Balrampur,1,2,,,,,,,,,,1,,,4
13, Banda,1,,,,,,,,,,,,,,1
14, Barabanki,,,,,,,,,,,,,,,0
15, Bareilly,4,,,,,,,,,,,,,,4
16, Basti,,,,,,,,,,,,,,,0
17, Bijnor,,,,,,,,,,,,,,,0
18, Budaun,,,,,,,,,,,,,,,0
19, Bulandshahr,1,,,,,,,,,,,,,,1
20, Chandauli,,1,,9,,,,,,,,,,,10
21, Chitrakoot,1,4,3,5,,,,,,,,,,,13
22, Deoria,1,,,,,,,,,,,,,,1
23, Etah,,,4,1,,,,,,,,,,,5
24, Etawah,1,3,11,1,,,,,,,,,,,16
25, Farrukhabad,,,,,,,,,,,,,,,0
26, Fatehpur,,,,,,,,,,,,,,,0
27, Firozabad,,,,,,,,,,,,,,,0
28,GB Nagar,,1,1,,,,,,,,,,,,2
29, Ghaziabad,,2,1,,,,,,,,,,,,3
30, Ghazipur,1,3,,1,,,,,,,,1,,,6
31, Gonda,,,,,,,,,,,,5,,,5
32, Gorakhpur,,,,,,,,,,,,,,,0
33, Hamirpur,,1,1,1,,,,,,,,1,,,4
34, Hardoi,,,,,,,,,,,,,,,0
35, Hathras ,,4,1,2,,,,,,,,,,,7
36, Hapur ,,1,2,,,,,,,,,,,,3
37, Jalaun,,,,,,,,,,,,,,,0
38, Jaunpur,,,,,,,,,,,,,,,0
39, Jhansi,,,,,,,,,,,,,,,0
40, Kannauj,,,,5,,,3,,,,,,,,8
41, Kanpur Dehat ,,,,,,,,,,,,,,,0
42, Kanpur Nagar,,,,,,,,,,,,,,,0
43, Kasganj ,,,,,,,,,,,,,,,0
44, Kaushambi,,,,,,,,,,,,,,,0
45, Kushinagar,,,,,,,,,,,,,,,0
46,Kheri,1,,,,,,,,,,,,,,1
47, Lalitpur,,,,,,,,,,,,,,,0
48, Lucknow,2,,,,,,,,,,,,,,2
49, Maharajganj,,,,,,,,,,,,,,,0
50, Mahoba,,,,3,,,,,,,,1,,,4
51, Mainpuri,,,,,,,,,,,,,,,0
52, Mathura,,,11,,,,,,,,,,,,11
53, Mau,,,,,,,,,,,,,,,0
54, Meerut,,14,1,,,,,,,,,,,,15
55, Mirzapur,,,,,,,,,,,,,,,0
56, Moradabad,1,,,,,,,,,,,,,,1
57, Muzaffarnagar,,10,,,,,,,,,,,,,10
58, Pilibhit,,2,2,,,,,,,,,,,,4
59, Pratapgarh,,,,,,,,,,,,,,,0
60, Prayagraj,,,,,,,3,,,,,,,,3
61, Raebareli,,,,,,,,,,,,,,,0
62, Rampur,1,,,,,,,,,,,,,,1
63, Saharanpur,,,,,,,,,,,,,,,0
64, Sant Kabir Nagar,,,,,,,1,,,,,,,,1
65, Shahjahanpur,1,,,,,,,,,,,,,,1
66, Shamli ,,,,,,,,,,,,,,,0
67, Shrawasti,,,,,,,,,,,,,,,0
68, Siddharthnagar,,,,,,,,,,,,,,,0
69, Sitapur,1,21,9,3,,,4,,,,,5,,,43
70, Sonbhadra,,,,,,,3,,,,,,,,3
71, Sultanpur,1,,,8,,,,,,,,,,,9
72,Bhadohi,,,,,,,,,,,,,,,0
73,Sambhal,,,,,,,,,,,,,,,0
74, Unnao,3,,11,,,,,,,,,,,,14
75, Varanasi,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,
,Total,25,80,137,60,,,16,,,,,21,,,339
