S. No.,District,Fire Hazard,Heavy Rainfall,Storms and Winds,Lightening,Drowning,Gas Leak,Cyclone,Boat Accident,Flash Floods,Fell in Borewell,Killed by Animal,Snake Bite,Coldwave,Sewer Cleaning,Total Casualties
1, Agra,,,2,2,,,,,,,,,,,4
2, Aligarh,,4,,,,,,,,,,4,,,8
3,Ambedkar Nagar,,14,1,4,,,,3,,,,29,,,51
4,Amethi ,,19,,3,,,,,,,,2,,,24
5,Auraiya,,2,2,1,,,,,,,,1,,,6
6, Ayodhya ,2,4,1,1,,,,,,,,8,,,16
7,Azamgarh,3,9,,9,,,,,,,,2,1,,24
8, Amroha ,,,1,1,,,,,,,,1,,,3
9, Baghpat,,1,,,,,,2,,,,,,,3
10, Bahraich,4,1,,2,,,,1,,,4,5,,,17
11, Ballia,2,10,3,7,,,,,,,,7,,,29
12, Balrampur,,3,,3,,,,,,,2,,,,8
13, Banda,,,,12,,,,,,,,2,,,14
14, Barabanki,2,13,5,4,,,,4,,,,18,,,46
15, Bareilly,,1,1,1,,,,,,,,5,,,8
16, Basti,,1,,,,,,,,,,1,,,2
17, Bijnor,,,,2,,,,,,,,,,,2
18, Budaun,,,1,3,,,,,,,2,2,,,8
19, Bulandshahr,,4,,,,,,,,,,2,,,6
20, Chandauli,,8,,12,,,,5,,,,2,,,27
21, Chitrakoot,,1,,11,,,,,,,,,,,12
22, Deoria,,2,,11,,,,,,,,,,,13
23, Etah,,2,3,,,,,,,,,1,,,6
24, Etawah,,1,,2,,,,,,,,3,,,6
25, Farrukhabad,,1,3,3,,,,,,,,11,,,18
26, Fatehpur,2,12,1,17,,,,,,,,48,,,80
27, Firozabad,,7,,3,,,,,,,,9,,,19
28,GB Nagar,,4,,,,,,,,,,,,,4
29, Ghaziabad,,,,,,,,,,,,,,,0
30, Ghazipur,3,10,,7,,,,,,,,14,,,34
31, Gonda,1,1,,,,,,1,,,,4,,,7
32, Gorakhpur,,2,,6,,,,,,,,14,,,22
33, Hamirpur,,4,,13,,,,2,,,,6,,,25
34, Hardoi,7,24,2,9,,,,,,,,53,,,95
35, Hathras ,,2,,2,,,,,,,,2,,,6
36, Hapur ,,2,,,,,,,,,,2,,,4
37, Jalaun,,3,,10,,,,,,,,2,,,15
38, Jaunpur,1,12,2,9,,,,1,,,,9,,1,35
39, Jhansi,4,,,7,,,,,,,,1,,,12
40, Kannauj,,3,1,2,,,,,,,,8,,,14
41, Kanpur Dehat ,,3,,6,,,,,,,,,,,9
42, Kanpur Nagar,2,9,1,11,,,,,,,,6,,1,30
43, Kasganj ,1,5,3,,,,,,,,,,,,9
44, Kaushambi,,7,,9,,,,,,,1,13,,,30
45, Kushinagar,1,1,,5,,,,,,,1,11,,,19
46,Kheri,2,3,5,7,,,,1,,,6,14,,,38
47, Lalitpur,,,1,19,,,,1,,,2,10,,,33
48, Lucknow,,,,1,,,,,,,,,,,1
49, Maharajganj,,,,1,,,,,,,,,,,1
50, Mahoba,,3,,6,,,,,,,,12,,,21
51, Mainpuri,,1,9,2,,,,,,,,,,,12
52, Mathura,,,1,3,,,,,,,,,,2,6
53, Mau,,5,,6,,,,,,,,1,,,12
54, Meerut,,,,2,,,,,,,,1,,,3
55, Mirzapur,2,10,15,28,,,,,,,3,7,,,65
56, Moradabad,,3,1,,,,,,,,,4,,,8
57, Muzaffarnagar,,10,,1,,,,,,,,,,,11
58, Pilibhit,,1,2,1,,,,,,,8,25,,,37
59, Pratapgarh,3,30,1,8,,,,,,,,12,,,54
60, Prayagraj,1,14,,15,,,,,,,,5,,,35
61, Raebareli,2,12,,7,,,,,,1,1,11,,,34
62, Rampur,,1,,,,,,,,,1,,,,2
63, Saharanpur,2,3,,,,,,,,,,2,,,7
64, Sant Kabir Nagar,,2,,2,,,,,,,,1,,,5
65, Shahjahanpur,,,,7,,,,,,,,,,,7
66, Shamli ,,,1,,,,,,,,,,,,1
67, Shrawasti,,,,,,,,,,,2,1,,,3
68, Siddharthnagar,,1,5,3,,,,,,,,,,,9
69, Sitapur,1,11,,9,,,,,,1,,6,,7,35
70, Sonbhadra,,1,,37,,,,2,,,,29,,1,70
71, Sultanpur,1,14,,7,,,,,,,,1,,,23
72,Bhadohi,,1,2,3,,,,,,,,1,,,7
73,Sambhal,,1,1,,,,,,,1,,1,,,4
74, Unnao,,5,6,2,,,,,,,,31,,5,49
75, Varanasi,,6,1,4,,,,,,,,1,,,12
,,,,,,,,,,,,,,,,
,Total,49,350,84,391,,,,23,,3,33,484,1,17,1435
