S. No.,District,Fire Hazard,Heavy Rainfall,Storms and Winds,Lightening,Drowning,Gas Leak,Cyclone,Boat Accident,Flash Floods,Fell in Borewell,Killed by Animal,Snake Bite,Coldwave,Sewer Cleaning,Total Casualties
1, Agra,,,,4,,,,,,,,,,8,12
2, Aligarh,,,,4,,,,,,,,1,,,5
3,Ambedkar Nagar,,3,,9,,,,,,,,10,,,22
4,Amethi ,,3,4,2,,,,,,,,20,,,29
5,Auraiya,,,,,,,,,,,,,,,0
6, Ayodhya ,,2,1,1,,,,,,,,2,,1,7
7,Azamgarh,,14,1,7,,,,1,,,,20,,,43
8, Amroha ,,,,,,,,,,,1,,,,1
9, Baghpat,,,1,,,,,,,,,,,,1
10, Bahraich,3,24,2,1,,,,,,,3,8,,,41
11, Ballia,3,9,4,22,,,,2,,,,3,,,43
12, Balrampur,,5,3,5,,,,,,,,1,,,14
13, Banda,4,1,1,2,,,,,,,1,15,,,24
14, Barabanki,,12,11,2,,,,,,,,34,,,59
15, Bareilly,,1,1,3,,,,,,,,,,,5
16, Basti,1,6,3,6,,,,,,,,,,,16
17, Bijnor,,1,1,3,,,,,,,3,3,,,11
18, Budaun,,4,2,1,,,,,,,,5,,,12
19, Bulandshahr,,,,2,,,,,,,,,,,2
20, Chandauli,,4,,12,,,,,,,,6,,,22
21, Chitrakoot,1,,1,6,,,,,,,,4,,,12
22, Deoria,,1,,16,,,,,,,,,,,17
23, Etah,,,,,,,,,,1,,,,,1
24, Etawah,2,1,4,2,,,,,,,,3,,,12
25, Farrukhabad,,2,,,,,,,,,,3,,,5
26, Fatehpur,,16,4,14,,,,3,,,,50,,,87
27, Firozabad,,,2,3,,,,,,1,,6,,,12
28,GB Nagar,,,,,,,,,,,,,,,0
29, Ghaziabad,,,1,,,,,,,,,,,,1
30, Ghazipur,,3,1,16,,,,,,,,14,,,34
31, Gonda,,7,1,4,,,,,,,,11,,,23
32, Gorakhpur,,3,,11,,,,,,,1,5,,,20
33, Hamirpur,,,1,1,,,,,,,,3,,,5
34, Hardoi,2,4,6,3,,,,,,,,25,,,40
35, Hathras ,,3,,,,,,,,,,,,,3
36, Hapur ,,1,,,,,,,,,,,,,1
37, Jalaun,,,,2,,,,,,,,,,,2
38, Jaunpur,1,13,4,13,,,,,,,,19,,,50
39, Jhansi,,,,1,,,,,,,,,,,1
40, Kannauj,,,9,2,,,,,,,,4,,,15
41, Kanpur Dehat ,,1,2,8,,,,,,,,,,,11
42, Kanpur Nagar,,,,,,,,,,,,,,,0
43, Kasganj ,,,1,4,,,,,,,,,,,5
44, Kaushambi,,4,2,9,,,,,,,,10,,,25
45, Kushinagar,,1,2,8,,,,1,,,,7,,,19
46,Kheri,1,12,10,3,,,,3,,,11,25,,,65
47, Lalitpur,,,,7,,,,,,,,4,,,11
48, Lucknow,,2,2,1,,,,,,,,,,,5
49, Maharajganj,,3,,1,,,,3,,,,1,,,8
50, Mahoba,1,,,3,,,,,,1,,15,,,20
51, Mainpuri,,,3,3,,,,,,,,6,,,12
52, Mathura,,1,,2,,,,,,,,,,,3
53, Mau,,1,1,2,,,,7,,,,2,,,13
54, Meerut,,,,,,,,,,,,,,,0
55, Mirzapur,1,3,4,27,,,,,,,,29,,,64
56, Moradabad,,1,,,,,,,,,,,,,1
57, Muzaffarnagar,3,,,1,,,,,,,,,,,4
58, Pilibhit,1,2,1,,,,,,,,8,14,,,26
59, Pratapgarh,2,7,8,5,,,,,,,,9,,,31
60, Prayagraj,,6,8,29,,,,,,,,1,,,44
61, Raebareli,,6,8,8,,,,,,,,17,,,39
62, Rampur,,,1,,,,,,,,,,,,1
63, Saharanpur,,1,,,,,,,,,,3,,,4
64, Sant Kabir Nagar,,5,2,3,,,,1,,,,,,,11
65, Shahjahanpur,,4,,1,,,,,,,,4,,,9
66, Shamli ,,,,1,,,,,,,,,,,1
67, Shrawasti,1,,,1,,,,,,,,2,,,4
68, Siddharthnagar,,,,3,,,,,,,,2,,,5
69, Sitapur,4,13,10,1,,,,1,,,,10,,,39
70, Sonbhadra,,1,,35,,,,,,,3,47,,,86
71, Sultanpur,,16,3,6,,,,,,,1,4,,,30
72,Bhadohi,,1,,6,,,,,,,,,,,7
73,Sambhal,,4,7,1,,,,,,,,,,,12
74, Unnao,1,3,14,9,,,,,,,,48,,,75
75, Varanasi,,1,,2,,,,,,,,,,,3
,,,,,,,,,,,,,,,,
,Total,32,242,158,370,,,,22,,3,32,535,,9,1403
