S. No.,District,Fire Hazard,Heavy Rainfall,Storms and Winds,Lightening,Drowning,Gas Leak,Cyclone,Boat Accident,Flash Floods,Fell in Borewell,Killed by Animal,Snake Bite,Coldwave,Sewer Cleaning,Total Casualties
1, Agra,,,4,,,,,,3,,,,,,7
2, Aligarh,,1,,1,2,,,,1,,,5,,,10
3,Ambedkar Nagar,,,1,1,,,,,,,,3,,,5
4,Amethi ,,11,,1,20,,,,,,,8,,,40
5,Auraiya,,1,,3,5,,,,,,,4,,,13
6, Ayodhya ,2,13,4,1,28,,,,,,,36,,,84
7,Azamgarh,2,22,,9,38,,,1,,,,32,,,104
8, Amroha ,,,,,,,,,,,,,,,0
9, Baghpat,,,,,,,,,,,,,,,0
10, Bahraich,,,,2,,,,,,,,,,,2
11, Ballia,,10,1,6,30,,,1,,,,20,,,68
12, Balrampur,,,1,2,23,,,,,,,6,,,32
13, Banda,,1,1,2,11,,,,,,,17,,,32
14, Barabanki,5,13,4,1,36,,,,1,,,59,,,119
15, Bareilly,,3,,,1,,,,,,,2,,,6
16, Basti,,2,1,3,3,,,,,,,21,,,30
17, Bijnor,,3,,,1,,,,,,,3,,,7
18, Budaun,1,2,2,,20,,,,,,,3,,,28
19, Bulandshahr,,,,,,,,,,,,1,,,1
20, Chandauli,,,,3,,,,,,,,,,,3
21, Chitrakoot,,,,5,3,,,,,,,12,,,20
22, Deoria,,3,1,4,3,,,,,1,1,4,,,17
23, Etah,,3,1,2,4,,,,4,,,4,,,18
24, Etawah,1,7,1,,13,,,,,,,14,,,36
25, Farrukhabad,4,1,,5,27,,,,,,,11,,,48
26, Fatehpur,2,14,4,7,39,,,,,,,62,,,128
27, Firozabad,,1,,7,19,,,,2,,,15,,,44
28,GB Nagar,2,,,1,1,,,,,,,,,,4
29, Ghaziabad,,,1,,4,,,,,,,,,,5
30, Ghazipur,3,4,1,11,47,,,1,,,,49,,,116
31, Gonda,1,2,1,1,43,,,,,,,28,,,76
32, Gorakhpur,1,12,,4,34,,,,,,,9,,,60
33, Hamirpur,2,2,,7,8,,,,,,,18,,2,39
34, Hardoi,,1,9,1,3,,,,,,,13,,,27
35, Hathras ,,1,,,,,,,,,,,,,1
36, Hapur ,,,,,,,,,,,,,,,0
37, Jalaun,,,,,2,,,,,,,2,,,4
38, Jaunpur,,12,,2,11,,,,,,1,8,,,34
39, Jhansi,,1,,11,4,,,,,,,6,,,22
40, Kannauj,,,,1,8,,,,,,,5,,,14
41, Kanpur Dehat ,,11,,7,25,,,,,,,33,1,,77
42, Kanpur Nagar,,1,,,,,,,,,,,,,1
43, Kasganj ,,,7,,2,,,,,2,,4,,,15
44, Kaushambi,,4,1,5,3,,,1,,,,8,,,22
45, Kushinagar,1,2,,3,16,,,,,,,6,,,28
46,Kheri,1,2,1,,6,,,,,,3,13,,,26
47, Lalitpur,,1,,16,14,,,,1,,,41,,,73
48, Lucknow,,4,2,,9,,,,,,,6,,2,23
49, Maharajganj,,,,,,,,,,,,,,,0
50, Mahoba,,1,1,8,12,,,,,,,19,,,41
51, Mainpuri,,2,,2,13,,,,,,,16,,,33
52, Mathura,,,,1,7,,,,,,,1,,,9
53, Mau,,2,1,2,4,,,,,,,3,,,12
54, Meerut,,6,,,2,,,,,,,,,,8
55, Mirzapur,4,1,,22,28,,,,,,,45,,,100
56, Moradabad,,1,,,10,,,,,,,4,,,15
57, Muzaffarnagar,,5,,,,,,,,,,3,,,8
58, Pilibhit,2,,,2,25,,,,,,6,16,,,51
59, Pratapgarh,4,14,1,4,20,,,,,,1,18,,,62
60, Prayagraj,,8,5,31,3,,,,,,,13,,,60
61, Raebareli,2,12,,6,18,,,,,,,23,,,61
62, Rampur,,,1,,2,,,,,,,,,,3
63, Saharanpur,,,2,,1,,,,,,,2,,,5
64, Sant Kabir Nagar,,,,5,,,,,,,,3,,,8
65, Shahjahanpur,1,7,4,2,32,,,,,,,17,,,63
66, Shamli ,,4,1,1,9,,,,,,,,,,15
67, Shrawasti,1,1,,,11,,,,,,,2,,,15
68, Siddharthnagar,,2,,3,12,,,,,,1,10,,,28
69, Sitapur,,26,9,3,42,,,,,,,51,,,131
70, Sonbhadra,2,4,,37,95,,,,,,3,100,,,241
71, Sultanpur,,14,,2,3,,,,1,,,5,,,25
72,Bhadohi,,,,2,,,,,,,,,,,2
73,Sambhal,,,1,,1,,,,,,,,,,2
74, Unnao,,3,5,4,19,,,,,2,,38,,,71
75, Varanasi,,1,1,1,,,,,,,,1,,,4
,,,,,,,,,,,,,,,,
,Total,44,285,81,273,935,,,4,13,5,16,981,1,4,2642
