S. No.,District,Fire Hazard,Heavy Rainfall,Storms and Winds,Lightening,Drowning,Gas Leak,Cyclone,Boat Accident,Flash Floods,Fell in Borewell,Killed by Animal,Snake Bite,Sewer Cleaning,Killed by Bison,Hailstorm,Insect Attack,Honeybee Attack,Total Casualties
1, Agra,1,,4,,7,,,,,,,,,,,,,12
2, Aligarh,,4,,2,1,,,,,,,,,,,,,7
3,Ambedkar Nagar,,1,1,3,17,,,,,,,17,,,,,,39
4,Amethi ,1,1,1,2,10,,,,,,1,13,,,,,,29
5,Auraiya,,1,2,1,13,1,,,,,1,7,,,,,,26
6, Ayodhya ,,3,1,1,17,,,,,,,9,,,,,,31
7,Azamgarh,,1,,11,11,,,,,,,10,,,,,,33
8, Amroha ,,,,,,,,,,,,,,,,,,0
9, Baghpat,,,1,2,,,,,,,,1,,,,,,4
10, Bahraich,,,,,,,,,,,1,,,,,,,1
11, Ballia,2,2,1,10,27,,,1,,,,8,,,,,,51
12, Balrampur,,,,2,9,,,,,,4,2,,,,,,17
13, Banda,1,2,,24,22,,,13,,,,7,,,,,,69
14, Barabanki,1,5,5,2,33,,,3,,,2,38,,,,,1,90
15, Bareilly,,,,,10,,,,,,,4,,,,,,14
16, Basti,,1,,,2,,,,,,,,,,,,,3
17, Bijnor,1,1,,1,,,,,,,2,1,,,,,,6
18, Budaun,,2,,1,16,,,,,,1,1,,,,,,21
19, Bulandshahr,,,,,2,,,,3,,,,,,,,,5
20, Chandauli,,,,1,4,,,,,,1,2,,,,,,8
21, Chitrakoot,,,,1,2,,,,1,,,2,,,,,,6
22, Deoria,,5,2,4,35,,,,,,,10,,,,,,56
23, Etah,,3,1,2,8,,,,,,1,3,,,,,,18
24, Etawah,,13,1,1,7,,,,,,,3,,,,,,25
25, Farrukhabad,,2,,1,27,,,,,,,10,,,,,,40
26, Fatehpur,4,13,2,16,27,,,,,,2,28,,,,,,92
27, Firozabad,,7,1,1,6,,,,,,,2,,,,,,17
28,GB Nagar,,,,,5,1,,,,,,,,,,,,6
29, Ghaziabad,,,,,,,,,,,,,,,,,,0
30, Ghazipur,1,2,1,9,54,,,7,,,,15,,,,,,89
31, Gonda,5,6,5,3,32,,,,,,2,7,,,,,,60
32, Gorakhpur,1,1,,8,44,,,2,,,3,5,,,,,,64
33, Hamirpur,1,4,,16,17,,,1,,,,15,,,,,,54
34, Hardoi,1,2,2,6,36,,,,,,,15,,,,,,62
35, Hathras ,,1,2,,6,,,,,,,,,,,,,9
36, Hapur ,,,,,,,,,,,,,,,,,,0
37, Jalaun,,2,,4,2,,,,1,,,,,,,,,9
38, Jaunpur,,,,,2,,,,,,,,,,,,,2
39, Jhansi,,,,,,,,,,,,,,,,,,0
40, Kannauj,1,,1,2,15,,,,,,,10,,,,,,29
41, Kanpur Dehat ,1,11,2,5,17,,,,,,,15,,,,,,51
42, Kanpur Nagar,,,,,,,,,,,,,3,,,,,3
43, Kasganj ,,,,,1,,,,,,,,,,,,,1
44, Kaushambi,4,2,4,13,18,,,,,1,1,34,,,,,,77
45, Kushinagar,1,,,1,21,,,,,,,6,,,,,,29
46,Kheri,,,1,2,2,,,,,,,,,,,,,5
47, Lalitpur,,2,,19,26,,,,,,,26,,,,,,73
48, Lucknow,,9,,,22,,,,,,,5,,,,,,36
49, Maharajganj,,,,2,,,,,,,,,,,,,,2
50, Mahoba,,3,,8,24,,,,,,,15,,,,,,50
51, Mainpuri,,1,,2,5,,,,,,,2,,,,,,10
52, Mathura,,,,2,,,,,,2,,,,,,,,4
53, Mau,6,2,,5,3,,,,,,,7,,,,,,23
54, Meerut,,,,,4,,,2,,,2,,,,,,,8
55, Mirzapur,1,1,2,25,26,,,,,,,14,,,,,,69
56, Moradabad,5,,1,,10,,,,1,,,1,,,,,,18
57, Muzaffarnagar,1,2,1,,,,,,3,,,4,,1,,,,12
58, Pilibhit,,2,,1,11,,,,,,1,8,,,,,,23
59, Pratapgarh,1,2,1,1,5,,2,,,,,12,,,,,,24
60, Prayagraj,,,1,22,13,,,,2,,,3,,,,,,41
61, Raebareli,,3,1,1,7,,,,,,,3,,,,,,15
62, Rampur,,,,,,,,,,,,,,,,,,0
63, Saharanpur,,,,1,4,,,,1,2,,2,,,,,,10
64, Sant Kabir Nagar,,1,,1,13,,,,,,,5,,,,,,20
65, Shahjahanpur,,1,1,2,14,,,,1,,4,8,,,,,,31
66, Shamli ,,1,,,3,,,,,,,,,,,,,4
67, Shrawasti,1,3,,,19,,,,,,,1,,,,,,24
68, Siddharthnagar,1,,,5,16,,,,,,,2,,,,,,24
69, Sitapur,1,9,5,6,41,,,,1,,4,27,,,,,,94
70, Sonbhadra,,4,,29,87,,,,,,1,45,,,1,,,167
71, Sultanpur,1,3,,4,29,,,,,,,4,,,,,,41
72,Bhadohi,,,,1,,,,,,,,,,,,,,1
73,Sambhal,,,,,,,,,,,,,,,,,,0
74, Unnao,,6,,2,16,,,,,,,2,,,,1,,27
75, Varanasi,1,,3,4,,,,4,,1,,1,,,,,,14
,,,,,,,,,,,,,,,,,,,
,Total,46,153,57,301,983,2,2,33,14,6,34,497,3,1,1,1,1,2135
