S. No.,District,Fire Hazard,Heavy Rainfall,Storms and Winds,Lightening,Insect Attack,Drowning,Gas Leak,Boat Accident,Floods,Flash Floods,Fell in Borewell,Killed by Animal,Heatwave,Snake Bite,Killed by Bison,Sewer Cleaning,Total Casualties
1, Agra,2,3,,,,17,,,,2,,,,2,2,,28
2, Aligarh,,2,,1,,,,,,,,,,,,,3
3,Ambedkar Nagar,,3,3,6,,18,,,,,,,,12,,,42
4,Amethi ,,1,,1,,15,,,,1,,,,18,3,,39
5,Auraiya,,,1,,,3,,,,,,,,,5,,9
6, Ayodhya ,,,1,2,,2,,,,,,,,,,,5
7,Azamgarh,3,,4,5,,23,,,,,,,,7,3,,45
8, Amroha ,,1,,9,,9,,,,,,,1,10,1,,31
9, Baghpat,1,,,2,,3,,,,,,,,,,,6
10, Bahraich,,1,,,,,,,,,,3,,,1,,5
11, Ballia,2,1,,15,,21,,4,,,,,,11,,,54
12, Balrampur,,,,1,,10,,,,,,1,,2,,,14
13, Banda,1,3,1,12,,35,,,,,,,,27,1,,80
14, Barabanki,,9,1,5,,23,,,,,,,,30,,,68
15, Bareilly,,2,,,,8,,,,,,1,,3,,,14
16, Basti,,,,,,3,,,,,,,,,,,3
17, Bijnor,,,,2,,4,,,,,,,,3,,,9
18, Budaun,,1,1,1,,14,,,,,,14,,4,4,,39
19, Bulandshahr,,5,1,4,,39,,,,,,1,,10,1,,61
20, Chandauli,,6,,,,7,,,,,3,,,4,,,20
21, Chitrakoot,,,,2,,2,,,,,,,,2,,,6
22, Deoria,,,1,5,,9,,,,3,,,,12,,,30
23, Etah,1,1,,,,11,,,,,,,,3,,,16
24, Etawah,1,7,1,2,,13,,,,2,,,,4,,,30
25, Farrukhabad,,,2,,,,,,,,,,,,1,,3
26, Fatehpur,,1,,1,,53,,,6,,,,,19,,,80
27, Firozabad,,3,1,12,,33,,,,,,,,25,1,,75
28,GB Nagar,,1,1,1,,6,,,,,,,,2,4,,15
29, Ghaziabad,,1,,,,3,,,,1,,,,,,,5
30, Ghazipur,,,,,,1,,,3,,,,,,,,4
31, Gonda,,1,3,25,,32,,,,,,1,,33,,,95
32, Gorakhpur,2,,1,1,,9,,,,,,,,11,2,,26
33, Hamirpur,,1,,1,,20,,,,,,,,,,,22
34, Hardoi,,,,1,,8,,,,,,,,,,,9
35, Hathras ,2,6,2,2,,60,,,,,,,,27,3,,102
36, Hapur ,,,1,,,1,,,,2,,,,1,1,,6
37, Jalaun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38, Jaunpur,,1,1,7,,8,,,,,,,,10,,,27
39, Jhansi,,3,1,10,,11,,,,,,,,10,,,35
40, Kannauj,5,1,,2,,20,,,,,,,,5,1,,34
41, Kanpur Dehat ,,3,1,2,,17,,,,,,,,10,,,33
42, Kanpur Nagar,,7,,6,,26,,,,,,,,12,3,,54
43, Kasganj ,,,,,,4,,,,,,,,1,,,5
44, Kaushambi,,,,4,,13,,,,2,,,,3,,,22
45, Kushinagar,1,1,1,9,,15,,,,,,,,22,,,49
46,Kheri,16,,1,5,,10,,,,,,,,3,,4,39
47, Lalitpur,1,1,2,1,,36,,,,2,2,16,,31,6,,98
48, Lucknow,,,,12,,26,,,,,,,,17,,,55
49, Maharajganj,,1,4,,,4,,,,,,,,2,,,11
50, Mahoba,4,,1,2,,26,,,,1,,1,,11,1,,47
51, Mainpuri,,2,,6,,21,,,,,,,,12,,,41
52, Mathura,,7,1,7,,9,,,,,,,,7,,,31
53, Mau,,5,,3,,13,,,,,,,,6,,,27
54, Meerut,,,,5,,9,,,,,,,,2,,,16
55, Mirzapur,,2,,,,7,,,,,,,,4,,,13
56, Moradabad,1,,2,23,,19,,,,,,,,10,,,55
57, Muzaffarnagar,,,,,,3,,,,,,,,,,,3
58, Pilibhit,,5,,,,1,,,,,,,,,,,6
59, Pratapgarh,2,1,1,1,,13,,,,,,7,,17,2,,44
60, Prayagraj,,,,4,,9,,,,,,,,21,,,34
61, Raebareli,,1,1,13,,51,,,,,,,,19,1,,86
62, Rampur,,1,1,5,,17,,,,,,,,8,,,32
63, Saharanpur,,,1,,,12,,,,2,,,,2,,,17
64, Sant Kabir Nagar,,2,,,,21,,,,2,,,,4,,,29
65, Shahjahanpur,,9,,2,,7,,,,,,,,,,,18
66, Shamli ,,,2,1,,10,,,,,,,,2,1,,16
67, Shrawasti,,1,3,,,22,,,,1,,,,12,1,,40
68, Siddharthnagar,,1,,,,1,,,,,,,,,,,2
69, Sitapur,,,,,,11,,,,,,,,3,,,14
70, Sonbhadra,2,,1,5,,49,,,,,,,,6,,,63
71, Sultanpur,,4,3,,,48,,,,,,2,,27,5,,89
72,Bhadohi,1,,2,26,,53,3,,,,,,,50,,,135
73,Sambhal,1,3,,2,,19,,,,,,,,11,,,36
74, Unnao,,1,4,1,1,19,,,,,1,,,7,,1,35
75, Varanasi,,1,,1,,6,,,,,,,,2,,,10
,,,,,,,,,,,,,,,,,,
,Total,49,124,60,284,1,1181,3,4,9,21,6,47,1,651,54,5,2500
